Feature,Importance,Modality
GAS7_ATAC,0.013947468,ATAC
CD8A_ATAC,0.008370446,ATAC
ZEB2_ATAC,0.007901136,ATAC
ARHGAP24_ATAC,0.007230488,ATAC
LINC02446_ATAC,0.0052493266,ATAC
ADAM12_ATAC,0.0043002437,ATAC
TRAV12-2_ATAC,0.003779282,ATAC
BASP1_ATAC,0.0032117472,ATAC
ENTPD1_ATAC,0.0026679644,ATAC
ST8SIA1_ATAC,0.0026163678,ATAC
KIR2DL1_ATAC,0.002314154,ATAC
ADTRP_ATAC,0.002151596,ATAC
RAB31_ATAC,0.002113758,ATAC
LEF1-AS1_ATAC,0.002083163,ATAC
CD36_ATAC,0.002067938,ATAC
CD8B_ATAC,0.0020633303,ATAC
CCDC192_ATAC,0.0019923684,ATAC
RSPH9_ATAC,0.0019699056,ATAC
LINC00877_ATAC,0.00194866,ATAC
CCNJL_ATAC,0.0019248289,ATAC
